"","year","country","co2","female_emp","fertility","gdp_pop","sanitation","internet","mortality","life_exp"
"1",1990,"Czech Republic",7.98480508110924,4.966760012304,1.9,37.36896760216,99.1,0,10.3,71.38390244
"2",1991,"Czech Republic",7.98480508110924,0.444000006,1.86,37.33150781,99.1,23.4799235398943,9.9,71.89829268
"3",1992,"Czech Republic",13.3903072,0.532000005,1.71,37.21132422,99.1,23.4799235398943,9.3,72.27170732
"4",1993,"Czech Republic",12.83965002,0.432999998,1.67,37.24794141,99.1,0.581319529,8.6,72.76780488
"5",1994,"Czech Republic",12.16751705,0.630999982,1.44,37.88726953,99.1,1.259217838,7.9,72.97268293
"6",1995,"Czech Republic",11.99069327,0.833999991,1.28,39.95544922,99.1,1.45357584,7.1,73.07487805
"7",1996,"Czech Republic",12.15467452,0.772000015,1.18,41.60948438,99.1,1.940378193,6.4,73.71463415
"8",1997,"Czech Republic",12.36529136,0.648000002,1.17,41.67643359,99.1,2.915698695,5.8,73.82487805
"9",1998,"Czech Republic",11.90396015,0.814999998,1.16,42.11194922,99.1,3.895906065,5.2,74.51463415
"10",1999,"Czech Republic",10.88847106,0.985000014,1.13,43.71477344,99.1,6.832802018,4.8,74.66829268
"11",2000,"Czech Republic",12.07688904,0.999000013,1.15,45.94723828,99.1,9.780527888,4.5,74.96829268
"12",2001,"Czech Republic",12.10978725,1.172000051,1.15,47.05212109,99.1,14.69717212,4.3,75.17317073
"13",2002,"Czech Republic",11.7437029,1.192999959,1.17,47.30909375,99.1,23.93,4.1,75.22195122
"14",2003,"Czech Republic",11.97368903,1.274000049,1.18,49.39369922,99.1,34.3,3.9,75.17073171
"15",2004,"Czech Republic",11.4518445,1.105999947,1.23,52.26176563,99.1,35.5,3.7,75.72195122
"16",2005,"Czech Republic",11.76245004,1.258999944,1.29,54.84034375,99.1,35.27,3.5,75.92439024
"17",2006,"Czech Republic",11.92582928,1.27699995,1.34,57.98768359,99.1,47.93,3.4,76.52439024
"18",2007,"Czech Republic",11.97251522,1.082000017,1.45,60.02505469,99.1,51.93,3.2,76.72439024
"19",2008,"Czech Republic",11.23377283,1.034999967,1.51,60.93610547,99.1,62.97,3,76.97560976
"20",2009,"Czech Republic",10.30832179,0.990999997,1.51,58.87311719,99.1,64.43,2.8,77.07804878
"21",2010,"Czech Republic",10.65257862,1.057999969,1.51,60.61614453,99.1,68.82,2.7,77.42439024
"22",2011,"Czech Republic",10.18548225,0.978999972,1.43,61.49496875,99.1,70.49,2.6,77.87317073
"23",2012,"Czech Republic",9.611985879,1.008000016,1.45,60.73637109,99.1,73.43000782,2.5,78.07560976
"24",2013,"Czech Republic",9.384891603,1.601999998,1.46,59.80015234,99.1,74.1104,2.5,78.17560976
"25",2014,"Czech Republic",9.165978376,1.077999949,1.53,60.90650781,99.1,74.23171164,2.5,78.82439024
"26",2015,"Czech Republic",7.98480508110924,1.057999969,1.57,62.89111719,99.1,75.6688387,2.5,78.57804878
"27",1990,"Hungary",6.713650623,4.966760012304,1.87,37.36896760216,98,0,15.2,69.31560976
"28",1991,"Hungary",6.418858426,1.398000002,1.87,38.36439453,98,0.00338263,14.6,69.37707317
"29",1992,"Hungary",5.824428958,1.809999943,1.77,37.189,98,0.048353421,13.7,69.11707317
"30",1993,"Hungary",5.978002173,1.649000049,1.68,39.08465234,98,0.193414395,12.7,69.10121951
"31",1994,"Hungary",5.692996711,1.588999987,1.64,40.82519922,98,0.483580975,11.6,69.4697561
"32",1995,"Hungary",5.844711547,1.65199995,1.57,41.82091406,98,0.677486054,10.8,69.79170732
"33",1996,"Hungary",6.019061436,1.613000035,1.46,42.80344531,98,0.969239536,10.3,70.32878049
"34",1997,"Hungary",5.916811704,1.771000028,1.37,44.47824219,98,1.942449872,9.9,70.70243902
"35",1998,"Hungary",5.762720948,1.133000016,1.32,45.72254688,98,3.894643278,9.6,70.55780488
"36",1999,"Hungary",5.743606612,1.082999945,1.28,45.36190625,98,5.857840749,9.2,70.67707317
"37",2000,"Hungary",5.467296695,1.006999969,1.32,46.85033594,98,6.999676351,8.7,71.24634146
"38",2001,"Hungary",5.592875675,0.949000001,1.31,48.33026953,98,14.5285543,8.1,72.24878049
"39",2002,"Hungary",5.518941473,0.987999976,1.3,50.42591016,98,16.67,7.6,72.34878049
"40",2003,"Hungary",5.82981044,0.713999987,1.27,51.55498047,98,21.63,7.2,72.3
"41",2004,"Hungary",5.684910755,0.628000021,1.28,54.43173828,98,27.74,6.8,72.64878049
"42",2005,"Hungary",5.751848927,0.675000012,1.31,56.73610938,98,38.97,6.4,72.64878049
"43",2006,"Hungary",5.698187039,0.782999992,1.34,58.77254688,98,47.06,6.1,73.09756098
"44",2007,"Hungary",5.572459521,0.699000001,1.32,59.32048438,98,53.3,5.8,73.15121951
"45",2008,"Hungary",5.463501182,0.451000005,1.35,60.60661328,98,61,5.5,73.70243902
"46",2009,"Hungary",4.840111448,0.49000001,1.32,58.12173438,98,62,5.3,73.90487805
"47",2010,"Hungary",5.022311649,0.462000012,1.25,58.75137891,98,65,5.1,74.20731707
"48",2011,"Hungary",4.797900003,0.635999978,1.23,59.46195313,98,68.01998789,4.9,74.85853659
"49",2012,"Hungary",4.494128944,0.541999996,1.34,57.65183594,98,70.57999815,4.8,75.06341463
"50",2013,"Hungary",4.259659831,0.485000014,1.35,57.9103125,98,72.6439,4.7,75.56585366
"51",2014,"Hungary",4.265574976,0.412,1.44,57.05262109,98,75.65319745,4.5,75.76341463
"52",2015,"Hungary",7.98480508110924,0.282000005,1.45,57.16025,98,72.8347,4.3,75.56829268
"53",1990,"Romania",7.503163349,4.966760012304,1.83,37.36896760216,70.4,0,24.4,69.74121951
"54",1991,"Romania",6.099190193,5.635000229,1.59,20.44843945,71,23.4799235398943,23.4,69.78439024
"55",1992,"Romania",5.643769903,22.00300026,1.51,18.53894531,71.4,23.4799235398943,22.8,69.78439024
"56",1993,"Romania",5.504379114,22.86899948,1.43,18.76391211,71.7,0.003703214,22.4,69.56341463
"57",1994,"Romania",5.241518875,24.75200081,1.4,19.48594531,72,0.026300162,22.2,69.5097561
"58",1995,"Romania",5.556690076,23.96899986,1.33,20.92163867,72.3,0.074952756,22,69.45609756
"59",1996,"Romania",5.544352572,25.71100044,1.3,22.18215625,72.6,0.221622649,21.8,69.10487805
"60",1997,"Romania",4.993556835,27.81500053,1.32,20.84588867,72.9,0.445444676,21.4,69.00487805
"61",1998,"Romania",4.435459288,28.54500008,1.32,20.835125,73.2,2.237649473,20.4,69.80731707
"62",1999,"Romania",3.993517767,30.79199982,1.3,20.99506836,73.5,2.697580217,19.2,70.51219512
"63",2000,"Romania",4.040518655,31.11199951,1.31,21.91525391,73.8,3.613717291,18.3,71.16341463
"64",2001,"Romania",4.366207979,30.95700073,1.27,23.59066016,74.1,4.538669029,17.7,71.16097561
"65",2002,"Romania",4.47471788,23.59399986,1.27,27.67761523,74.4,6.58,17.4,71.0097561
"66",2003,"Romania",4.684388286,25.14299965,1.3,29.68029102,74.8,8.9,16.9,71.3097561
"67",2004,"Romania",4.517307494,22.0529995,1.33,32.6540625,75.2,15,16.3,71.59427561
"68",2005,"Romania",4.524305495,21.23900032,1.4,34.92464063,75.6,21.5,15.2,71.87889512
"69",2006,"Romania",4.876469678,19.92200089,1.42,37.30970313,75.9,24.66,13.7,72.16341463
"70",2007,"Romania",4.895132266,19.91200066,1.45,40.03086328,76.3,28.3,12.2,72.56585366
"71",2008,"Romania",4.692067363,18.94599915,1.6,43.85417969,76.7,32.42,11,72.56585366
"72",2009,"Romania",4.005210952,19.20899963,1.66,41.8095,77.1,36.6,10.2,73.3097561
"73",2010,"Romania",3.922213561,20.24200058,1.59,40.97710156,77.5,39.93,9.7,73.45853659
"74",2011,"Romania",4.212926221,19.4829998,1.47,42.44483984,77.9,40.00999678,9.6,74.4097561
"75",2012,"Romania",4.074315455,19.38400078,1.52,42.40113281,78.3,45.87999425,9.4,74.41219512
"76",2013,"Romania",3.550167079,18.7689991,1.46,44.34892188,78.6,49.7645,9,75.06341463
"77",2014,"Romania",3.516153691,18.28700066,1.52,45.51083203,79,54.08,8.4,74.96097561
"78",2015,"Romania",7.98480508110924,14.92099953,1.58,47.82090625,79.1,55.7632,7.8,75.01219512
"79",1990,"Russian Federation",7.98480508110924,4.966760012304,1.892,37.36896760216,72.7,0,18.5,68.88609756
"80",1991,"Russian Federation",7.98480508110924,0.209000006,1.732,40.52146094,72.7,23.4799235398943,18.4,68.47439024
"81",1992,"Russian Federation",13.97997354,0.088,1.552,34.34616797,72.7,0.000672532,18.5,66.87317073
"82",1993,"Russian Federation",13.05174975,0.131999999,1.385,32.26432617,72.6,0.013447238,18.7,64.93585366
"83",1994,"Russian Federation",11.44953608,0.112999998,1.4,29.59433203,72.6,0.053817493,18.8,64.46707317
"84",1995,"Russian Federation",10.99555846,0.180999994,1.337,28.99771289,72.6,0.148151042,18.7,64.69073171
"85",1996,"Russian Federation",10.88665067,0.138999999,1.27,28.29772852,72.6,0.26975293,18.5,65.85414634
"86",1997,"Russian Federation",10.31678925,0.094999999,1.218,29.88706055,72.5,0.472963763,18.2,66.69878049
"87",1998,"Russian Federation",10.12729917,0.078000002,1.232,29.13664844,72.5,0.812744451,17.8,67.0297561
"88",1999,"Russian Federation",10.40068271,0.159999996,1.157,29.35830664,72.5,1.018984614,17.2,65.98219512
"89",2000,"Russian Federation",10.62712053,0.115999997,1.195,31.06892188,72.5,1.977230109,16.6,65.48365854
"90",2001,"Russian Federation",10.6696034,0.067000002,1.223,32.6508125,72.4,2.944367787,15.8,65.38341463
"91",2002,"Russian Federation",10.71590102,0.081,1.286,33.36250391,72.4,4.128271818,14.8,65.12878049
"92",2003,"Russian Federation",11.09064748,0.108000003,1.32,35.97153125,72.4,8.298860616,13.9,65.04780488
"93",2004,"Russian Federation",11.12062698,0.082999997,1.344,37.99836719,72.4,12.8593889,12.9,65.47097561
"94",2005,"Russian Federation",11.25352867,0.098999999,1.294,39.8395625,72.4,15.2266732,11.9,65.5297561
"95",2006,"Russian Federation",11.66912207,0.077,1.305,42.88734766,72.3,18.02327746,11.1,66.72756098
"96",2007,"Russian Federation",11.67245657,0.115999997,1.416,45.40443359,72.3,24.66,10.3,67.58682927
"97",2008,"Russian Federation",12.01450651,0.112999998,1.502,47.57812891,72.3,26.83,9.7,67.94926829
"98",2009,"Russian Federation",11.02385623,0.328000009,1.542,44.83542969,72.3,29,9.2,68.68463415
"99",2010,"Russian Federation",11.69434812,0.381999999,1.567,46.42569531,72.3,43,8.9,68.84121951
"100",2011,"Russian Federation",12.334881,0.289000005,1.582,47.74759375,72.3,49,8.7,69.68390244
"101",2012,"Russian Federation",12.78497902,0.368000001,1.691,48.98415625,72.2,63.8,8.4,70.07219512
"102",2013,"Russian Federation",12.39355647,0.367000014,1.707,49.84706641,72.2,67.97,8.1,70.57878049
"103",2014,"Russian Federation",11.85752777,0.407000005,1.75,50.21729688,72.2,70.52,7.8,70.74365854
"104",2015,"Russian Federation",7.98480508110924,0.379000008,1.75,49.09942578,72.2,70.1,7.3,71.16829268
"105",1990,"Ukraine",7.98480508110924,4.966760012304,1.844,37.36896760216,87.6619047619048,0,16.6,70.13658537
"106",1991,"Ukraine",7.98480508110924,0.254999995,1.773,21.641625,87.6619047619048,23.4799235398943,16.6,68.87804878
"107",1992,"Ukraine",12.09829595,0.248999998,1.674,19.52005469,87.6619047619048,23.4799235398943,16.7,69.06829268
"108",1993,"Ukraine",10.33620528,0.108000003,1.563,16.71567773,87.6619047619048,0.00077697,16.9,68.47560976
"109",1994,"Ukraine",8.508441828,0.138999999,1.47,12.87872852,94.5,0.013641246,17.2,67.83853659
"110",1995,"Ukraine",8.657036837,0.172000006,1.397,11.32313086,94.5,0.043083985,17.4,67.13707317
"111",1996,"Ukraine",8.075959979,0.167999998,1.332,10.54850684,94.5,0.098580381,17.4,66.88780488
"112",1997,"Ukraine",6.743789914,0.293000013,1.27,10.54577246,94.5,0.198821885,17.3,67.29536585
"113",1998,"Ukraine",6.553863668,0.214000002,1.207,10.81905176,94.5,0.301075792,17,67.98878049
"114",1999,"Ukraine",6.694721194,1.075000048,1.121,11.04838379,94.6,0.405385448,16.5,68.21341463
"115",2000,"Ukraine",6.525618775,1.215999961,1.11,11.57552148,94.7,0.716183762,15.8,67.8595122
"116",2001,"Ukraine",6.609491317,1.434000015,1.085,12.79622754,94.7,1.238759547,15.1,68.28707317
"117",2002,"Ukraine",6.611440672,1.89199996,1.126,13.34704199,94.8,1.873885116,14.4,68.27560976
"118",2003,"Ukraine",7.371051211,1.687999964,1.172,14.59931934,94.9,3.148127588,13.7,68.21073171
"119",2004,"Ukraine",7.236767886,0.47299999,1.218,16.39866406,95,3.489477881,13,68.18536585
"120",2005,"Ukraine",7.087901917,0.386000007,1.213,16.67273242,95.1,3.749764415,12.5,67.95682927
"121",2006,"Ukraine",6.976804954,0.291000009,1.31,17.90801563,95.2,4.506124564,12,68.07756098
"122",2007,"Ukraine",6.907396814,0.268999994,1.345,19.31782031,95.3,6.55,11.6,68.22219512
"123",2008,"Ukraine",6.723649839,0.294,1.458,19.84484961,95.4,11,11.1,68.25146341
"124",2009,"Ukraine",5.647810472,0.30399999,1.473,17.41247461,95.5,17.9,10.6,69.19
"125",2010,"Ukraine",6.641349685,0.365999997,1.443,18.06208594,95.6,23.3,10.1,70.26536585
"126",2011,"Ukraine",6.265962311,0.381999999,1.459,19.0527832,95.7,28.70826284,9.6,70.80926829
"127",2012,"Ukraine",6.487602806,0.317999989,1.531,19.26839258,95.8,35.27,9.2,70.94414634
"128",2013,"Ukraine",5.976641848,0.261999995,1.506,19.09980469,95.8,40.954129,8.8,71.1595122
"129",2014,"Ukraine",5.020747064,0.312999994,1.498,18.82213281,95.9,46.23597546,8.4,71.18658537
"130",2015,"Ukraine",7.98480508110924,0.279000014,1.506,17.00551953,95.9,48.88464368,8.1,71.1895122
